Question,Answer
What is Artificial Intelligence?,Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning?,Machine Learning is a subset of Artificial Intelligence that enables computers to learn from data.
What is Deep Learning?,Deep Learning is a type of Machine Learning that uses neural networks.
What is Python?,Python is a high-level programming language.
Who developed Python?,Python was developed by Guido van Rossum.
What is Git?,Git is a distributed version control system.
What is GitHub?,GitHub is a cloud platform for hosting Git repositories.
What is Streamlit?,Streamlit is a Python framework used to build web applications.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Data Science?,Data Science is the process of extracting knowledge from data.
What is TensorFlow?,TensorFlow is an open-source deep learning framework developed by Google.
What is Keras?,Keras is a high-level deep learning API built on TensorFlow.
What is Pandas?,Pandas is a Python library for data manipulation and analysis.
What is NumPy?,NumPy is a Python library for numerical computing.
What is Scikit-learn?,Scikit-learn is a Python library for machine learning.
What is Java?,Java is an object-oriented programming language.
What is C++?,C++ is a powerful programming language used in system programming.
What is HTML?,HTML is the standard markup language for web pages.
What is CSS?,CSS is used to style HTML webpages.
What is JavaScript?,JavaScript is used to make webpages interactive.
